name,species_name,reference_accessions
Influenza A virus (A/Shanghai/02/2013(H7N9)),Alphainfluenzavirus influenzae,NC_026422.1;NC_026423.1;NC_026424.1;NC_026425.1;NC_026426.1;NC_026427.1;NC_026428.1;NC_026429.1
Le Dantec virus,Ledantevirus ledantec,NC_034443.1
Lebombo virus,Orbivirus lebomboense,NC_038594.1;NC_038595.1;NC_038596.1;NC_038597.1;NC_038598.1;NC_038599.1;NC_038600.1;NC_038601.1;NC_038602.1;NC_038603.1
LI polyomavirus,Alphapolyomavirus quardecihominis,NC_034253.1
Lyssavirus duvenhage,Lyssavirus duvenhage,NC_020810.1
Madrid virus,Orthobunyavirus madridense,NC_034497.1;NC_034498.1;NC_034505.1
Maldonado virus,Phlebovirus maldonadoense,NC_055342.1;NC_055343.1;NC_055344.1
Mammalian orthoreovirus 3 Dearing,Orthoreovirus mammalis,NC_077837.1;NC_077838.1;NC_077839.1;NC_077840.1;NC_077841.1;NC_077842.1;NC_077843.1;NC_077844.1;NC_077845.1;NC_077846.1
Mammarenavirus chapareense,Mammarenavirus chapareense,NC_010562.1;NC_010563.1
Mammarenavirus lujoense,Mammarenavirus lujoense,NC_012776.1;NC_012777.1
Merkel cell polyomavirus,Alphapolyomavirus quintihominis,NC_010277.2
Middle East respiratory syndrome-related coronavirus,Betacoronavirus cameli,NC_019843.3
Monkeypox virus,Orthopoxvirus monkeypox,NC_003310.1;NC_063383.1
Mundri virus,Tibrovirus mundri,NC_077192.1
MW polyomavirus,Deltapolyomavirus decihominis,NC_018102.1
New Jersey polyomavirus-2013,Alphapolyomavirus terdecihominis,NC_024118.1
Norovirus GI,Norovirus norwalkense,NC_044853.1;NC_044854.1;NC_044856.1
Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866,Norovirus norwalkense,NC_039897.1
Norovirus GII,Norovirus norwalkense,NC_039477.1;NC_040876.1;NC_044932.1
Norovirus GII.17,Norovirus norwalkense,NC_039475.1
Norovirus GII/Hu/JP/2007/GII.P15_GII.15/Sapporo/HK299,Norovirus norwalkense,NC_044045.1
Norovirus GII/Hu/JP/2011/GII/Yuzawa/Gira2HS,Norovirus norwalkense,NC_044046.1
Norovirus GIV,Norovirus norwalkense,NC_029647.1;NC_044855.1
NY_014 poxvirus,NY_014 poxvirus,NC_035469.1
Orthobunyavirus bwambaense,Orthobunyavirus bwambaense,NC_034479.1;NC_034480.1;NC_034490.1
Orthohantavirus bayoui,Orthohantavirus bayoui,NC_038298.1;NC_038300.1
Orthohantavirus sinnombreense,Orthohantavirus sinnombreense,NC_005215.1;NC_005217.1
Orthomarburgvirus marburgense,Orthomarburgvirus marburgense,NC_024781.1
Orungo virus,Orbivirus orungoense,NC_038604.1;NC_038605.1;NC_038606.1;NC_038607.1;NC_038608.1;NC_038609.1;NC_038610.1;NC_038611.1;NC_038612.1;NC_038613.1
Parvovirus NIH-CQV,Nicoomyvirus moldensis,NC_022089.1
Punta Toro virus,Phlebovirus toroense,NC_039191.1;NC_039192.1;NC_039193.1
Rift Valley fever virus,Phlebovirus riftense,NC_014395.1;NC_014396.1
Rosavirus A2,Rosavirus acaliforni,NC_024070.1
Ross River virus,Alphavirus rossriver,NC_075016.1
Rubella virus,Rubivirus rubellae,NC_076948.1
Salivirus A,Salivirus aklasse,NC_012986.1
Salivirus FHB,Salivirus FHB,NC_025114.1
Salivirus NG-J1,Salivirus aklasse,NC_012957.1
Sandfly fever Turkey virus,Phlebovirus siciliaense,NC_015411.1;NC_015412.1;NC_015413.1
Sapovirus Hu/GI/Sapporo/MT-2010/1982,Sapovirus sapporoense,NC_075724.1
SARS coronavirus Tor2,Betacoronavirus pandemicum,NC_004718.3
Satomivirus wayo,Satomivirus wayo,NC_135452.1
Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,NC_045512.2
Severe fever with thrombocytopenia syndrome virus,Bandavirus dabieense,NC_043450.1;NC_043451.1;NC_043452.1
SFTS virus HB29,Bandavirus dabieense,NC_018136.1;NC_018137.1;NC_018138.1
Small anellovirus 1,Small anellovirus,NC_007013.1
Small anellovirus 2,Small anellovirus,NC_007014.1
Songling virus,Orthonairovirus songlingense,NC_079000.1;NC_079001.1;NC_079002.1
Sosuga virus,Pararubulavirus sosugaense,NC_025343.1
Staphylococcus phage 6ec,Sextaecvirus sextaec,NC_024355.1
STL polyomavirus,Deltapolyomavirus undecihominis,NC_020106.1
Sudan ebolavirus,Orthoebolavirus sudanense,NC_006432.1
Tai Forest ebolavirus,Orthoebolavirus taiense,NC_014372.1
Tibrovirus congo,Tibrovirus congo,NC_043067.1
Torque teno midi virus 1,Gammatorquevirus homidi1,NC_009225.1
Torque teno midi virus 10,Gammatorquevirus homidi10,NC_038357.1
Torque teno midi virus 11,Gammatorquevirus homidi11,NC_038358.1
Torque teno midi virus 12,Gammatorquevirus homidi12,NC_038359.1
Torque teno midi virus 13,Gammatorquevirus homidi13,NC_038360.1
Torque teno midi virus 14,Gammatorquevirus homidi14,NC_038361.1
Torque teno midi virus 2,Gammatorquevirus homidi2,NC_014093.1
Torque teno midi virus 3,Gammatorquevirus homidi3,NC_038350.1
Torque teno midi virus 4,Gammatorquevirus homidi4,NC_038351.1
Torque teno midi virus 5,Gammatorquevirus homidi5,NC_038352.1
Torque teno midi virus 6,Gammatorquevirus homidi6,NC_038353.1
Torque teno midi virus 7,Gammatorquevirus homidi7,NC_038354.1
Torque teno midi virus 8,Gammatorquevirus homidi8,NC_038355.1
Torque teno midi virus 9,Gammatorquevirus homidi9,NC_038356.1
Torque teno mini virus 1,Betatorquevirus homini1,NC_014097.1
Torque teno mini virus 10,Betatorquevirus homini10,NC_038345.1;NC_076233.1;NC_076234.1
Torque teno mini virus 11,Betatorquevirus homini11,NC_038346.1
Torque teno mini virus 12,Betatorquevirus homini12,NC_038347.1
Torque teno mini virus 18,Betatorquevirus homini18,NC_030297.1
Torque teno mini virus 5,Betatorquevirus homini5,NC_014089.1
Torque teno mini virus 6,Betatorquevirus homini6,NC_014095.1
Torque teno mini virus 8,Betatorquevirus homini8,NC_014068.1
Torque teno mini virus ALA22,Betatorquevirus homini27,NC_025726.1
Torque teno mini virus ALH8,Betatorquevirus homini16,NC_025727.1
Torque teno mini virus SHA,Betatorquevirus homini26,NC_076162.1
Torque teno virus,Torque teno virus,NC_076168.1
Torque teno virus 9,Alphatorquevirus homin9,NC_038337.1
Trichodysplasia spinulosa-associated polyomavirus,Alphapolyomavirus octihominis,NC_014361.1
TTV-like mini virus,TTV-like mini virus,NC_020498.1;NC_076131.1;NC_076135.1;NC_076155.1;NC_076156.1;NC_076166.1;NC_076339.1
Yezo virus,Orthonairovirus yezoense,NC_079098.1;NC_079099.1;NC_079100.1
Zika virus,Orthoflavivirus zikaense,NC_035889.1
